second, t_delta, rpm
0.216, 0.04000000000000001, 1499.9999999999998
0.256, 0.03799999999999998, 1578.9473684210536
0.294, 0.038000000000000034, 1578.9473684210511
0.332, 0.03799999999999998, 1578.9473684210536
0.37, 0.03799999999999998, 1578.9473684210536
0.408, 0.038000000000000034, 1578.9473684210511
0.446, 0.035999999999999976, 1666.6666666666677
0.482, 0.03600000000000003, 1666.6666666666652
0.518, 0.03600000000000003, 1666.6666666666652
0.554, 0.03399999999999992, 1764.7058823529453
0.588, 0.03400000000000003, 1764.7058823529396
0.622, 0.03400000000000003, 1764.7058823529396
0.656, 0.03399999999999992, 1764.7058823529453
0.69, 0.03200000000000003, 1874.9999999999984
0.722, 0.03200000000000003, 1874.9999999999984
0.754, 0.03200000000000003, 1874.9999999999984
0.786, 0.03199999999999992, 1875.0000000000048
0.818, 0.030000000000000027, 1999.9999999999982
0.848, 0.03200000000000003, 1874.9999999999984
0.88, 0.030000000000000027, 1999.9999999999982
0.91, 0.029999999999999916, 2000.0000000000057
0.94, 0.030000000000000027, 1999.9999999999982
0.97, 0.030000000000000027, 1999.9999999999982
1.0, 0.030000000000000027, 1999.9999999999982
1.03, 0.028000000000000025, 2142.857142857141
1.058, 0.030000000000000027, 1999.9999999999982
1.088, 0.028000000000000025, 2142.857142857141
1.116, 0.029999999999999805, 2000.000000000013
1.146, 0.028000000000000025, 2142.857142857141
1.174, 0.028000000000000025, 2142.857142857141
1.202, 0.028000000000000025, 2142.857142857141
1.23, 0.028000000000000025, 2142.857142857141
1.258, 0.028000000000000025, 2142.857142857141
1.286, 0.026000000000000023, 2307.692307692306
1.312, 0.028000000000000025, 2142.857142857141
1.34, 0.026000000000000023, 2307.692307692306
1.366, 0.027999999999999803, 2142.857142857158
1.394, 0.026000000000000023, 2307.692307692306
1.42, 0.026000000000000023, 2307.692307692306
1.446, 0.026000000000000023, 2307.692307692306
1.472, 0.026000000000000023, 2307.692307692306
1.498, 0.02400000000000002, 2499.9999999999977
1.522, 0.026000000000000023, 2307.692307692306
1.548, 0.02400000000000002, 2499.9999999999977
1.572, 0.02400000000000002, 2499.9999999999977
1.596, 0.026000000000000023, 2307.692307692306
1.622, 0.0239999999999998, 2500.000000000021
1.646, 0.02400000000000002, 2499.9999999999977
1.67, 0.02400000000000002, 2499.9999999999977
1.694, 0.02400000000000002, 2499.9999999999977
1.718, 0.02400000000000002, 2499.9999999999977
1.742, 0.02400000000000002, 2499.9999999999977
