,transmitance_filename,RPM_filename,PDMS #,RPM,RPM_std,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
0,11-09-24_alpha_trans_PDMS_1.TRM,PDMS RPM 1.CSV,1,5604.93456703177,7.3456316056712945,14.005385990324058,0.11895474641546265,440,734,34
1,11-09-24_alpha_trans_PDMS_2.TRM,PDMS RPM 2.CSV,2,4579.164402391075,2.6158523427579574,18.017017834301182,0.15302754162740323,460,682,34
2,11-09-24_alpha_trans_PDMS_3.TRM,PDMS RPM 3.CSV,3,4055.7777164920026,1.6689289791641475,19.70405869559212,0.16735642324380656,495,690,30
3,11-09-24_alpha_trans_PDMS_4.TRM,PDMS RPM 4.CSV,4,3680.08382714265,1.9790524552146465,21.905100172442406,0.18605096910705718,444,645,41
4,11-09-24_alpha_trans_PDMS_5.TRM,PDMS RPM 5.CSV,5,3203.304830338623,2.1846809237189926,29.97158340006549,0.2545636446926792,537,656,27
5,11-09-24_alpha_trans_PDMS_6.TRM,PDMS RPM 6.CSV,6,2672.9275781108904,2.203133630459934,29.71912030769426,0.2524193494084913,555,630,17
