,transmitance_filename,RPM_filename,PDMS #,RPM,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
0,trans_PDMS_1.TRM,PDMS RPM 1.5.CSV,1,5000,8.544034659420932,0.23880578359721424,440,731,22
2,trans_PDMS_3.TRM,PDMS RPM 3.CSV,3,4000,12.453481306241981,0.3480748241781985,440,730,32
3,trans_PDMS_4.TRM,PDMS RPM 4.CSV,4,3500,14.156102218106993,0.39566308162734204,444,736,36
4,trans_PDMS_5.TRM,PDMS RPM 5.CSV,5,3000,17.32663680263291,0.4842795287814893,441,738,45
5,trans_PDMS_6.TRM,PDMS RPM 6.CSV,6,2500,21.058077509294986,0.5885733030253048,440,738,55
