,transmitance_filename,RPM_filename,PDMS #,RPM,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
8,19-09-24_alpha_trans_PDMS_11.TRM,PDMS RPM 11.CSV,11,3750,16.066089290891945,0.512143153978488,442,727,38
9,19-09-24_alpha_trans_PDMS_12.TRM,PDMS RPM 12.CSV,12,4250,13.935347447933408,0.44422090930471014,444,733,33
10,19-09-24_alpha_trans_PDMS_13.TRM,PDMS RPM 13.CSV,13,4750,12.097977627968127,0.3856505654217488,445,725,28
11,19-09-24_alpha_trans_PDMS_14.TRM,PDMS RPM 14.CSV,14,5000,10.368387545973498,0.3305159459356731,443,739,25
