,transmitance_filename,PDMS #,RPM,RPM_std,thickness (um),thickness_std
0,12-09-24_trans_PDMS_4k_1min.TRM,test1,1.8899683829480904,1.8899683829480904,15.343963832404073,0.42886381581379385
1,12-09-24_trans_PDMS_5k_2min.SSM,test2,3.3705773483277386,3.3705773483277386,7.775816533701049,0.2173340856466639
