,transmitance_filename,RPM_filename,PDMS #,RPM,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
9,trans_PDMS_11.TRM,PDMS RPM 11.CSV,11,3750,15.761609652550149,0.44053701721356964,444,735,40
10,trans_PDMS_12.TRM,PDMS RPM 12.CSV,12,4250,13.685013201851744,0.382496142803325,443,736,35
11,trans_RPM_13.TRM,PDMS RPM 13.CSV,13,4750,11.823809215789147,0.3304754881544288,440,724,30
12,trans_PDMS_14.TRM,PDMS RPM 14.CSV,14,5000,10.134289017139675,0.2832533956624545,441,732,26
