,transmitance_filename,RPM_filename,PDMS #,RPM,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
0,11-09-24_alpha_trans_PDMS_1.TRM,PDMS RPM 1.CSV,1,5000,14.005385990324058,0.44645354721369657,440,734,34
1,11-09-24_alpha_trans_PDMS_2.TRM,PDMS RPM 2.CSV,2,4500,18.017017834301182,0.5743334405701787,460,682,34
2,11-09-24_alpha_trans_PDMS_3.TRM,PDMS RPM 3.CSV,3,4000,19.70405869559212,0.6281117068270419,495,690,30
3,11-09-24_alpha_trans_PDMS_4.TRM,PDMS RPM 4.CSV,4,3500,21.905100172442406,0.6982749122955079,444,645,41
5,11-09-24_alpha_trans_PDMS_6.TRM,PDMS RPM 6.CSV,6,2500,29.71912030769426,0.9473645846396058,555,630,17
